rmse,mae,mape,model,train_time_sec
16.8407028932974,12.884990106002684,325.3099864811606,ARIMA,1.04
35.534244145770494,30.537317065090367,1116.6184845133869,LSTM,0.96
38.05326145853556,28.70012528010314,477.0433613485286,GRU,0.22
4638.177495998389,4231.368658778533,120292.86959116838,TRANSFORMER,0.56
4741.252853742707,4676.835242066026,141038.7002915425,Prophet,1.23
