model,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin
KMeans,2,0,0.9514216183569232,478.1441651296635,0.0329332858462601
Agglomerative,2,0,0.9514216183569232,478.1441651296635,0.0329332858462601
AE+KMeans,2,0,0.9514216183569232,478.1441651296635,0.0329332858462601
HDBSCAN,8,387,0.6451217012110689,683.1414980198551,0.4114416117257467
GaussianMixture,2,0,0.5080876859848751,49.14782510825832,2.4582587035312318
MiniBatchKMeans,2,0,0.45456100498907925,145.9021832571721,1.178640087037194
Spectral,2,0,0.3869585956632364,147.3864585494712,1.2360662742440072
DBSCAN,1,14,,,
